organisatie;org_afk;soort;onderwerp;jaar;maand;maand_nr;aantal
Het Rijk;Rijk;Rijk;zv%;2018;jan;1;6,2874873962334847
Het Rijk;Rijk;Rijk;zv%;2018;feb;2;7,1325220232251159
Het Rijk;Rijk;Rijk;zv%;2018;mrt;3;6,3819818909986461
Het Rijk;Rijk;Rijk;zv%;2018;apr;4;5,2102329079720695
Het Rijk;Rijk;Rijk;zv%;2018;mei;5;4,8067468450107302
Het Rijk;Rijk;Rijk;zv%;2018;jun;6;5,0112543814846697
Het Rijk;Rijk;Rijk;zv%;2018;jul;7;4,9128222566450335
Het Rijk;Rijk;Rijk;zv%;2018;aug;8;4,7737920378404217
Het Rijk;Rijk;Rijk;zv%;2018;sep;9;5,1564128905335629
Het Rijk;Rijk;Rijk;zv%;2018;okt;10;5,4555501656379413
Het Rijk;Rijk;Rijk;zv%;2018;nov;11;5,6336080602663934
Het Rijk;Rijk;Rijk;zv%;2018;dec;12;5,4151036700938686
Ministerie van BZK;BZK;Ministerie;zv%;2018;jan;1;6,4470294366542866
Ministerie van BZK;BZK;Ministerie;zv%;2018;feb;2;7,5648779688111407
Ministerie van BZK;BZK;Ministerie;zv%;2018;mrt;3;6,6866482469925277
Ministerie van BZK;BZK;Ministerie;zv%;2018;apr;4;5,7417659694029659
Ministerie van BZK;BZK;Ministerie;zv%;2018;mei;5;5,1083812538286777
Ministerie van BZK;BZK;Ministerie;zv%;2018;jun;6;5,1970990797734959
Ministerie van BZK;BZK;Ministerie;zv%;2018;jul;7;5,1616227702879467
Ministerie van BZK;BZK;Ministerie;zv%;2018;aug;8;5,0565513495150789
Ministerie van BZK;BZK;Ministerie;zv%;2018;sep;9;5,4547437270754777
Ministerie van BZK;BZK;Ministerie;zv%;2018;okt;10;5,6721618530388875
Ministerie van BZK;BZK;Ministerie;zv%;2018;nov;11;5,9744617846181285
Ministerie van BZK;BZK;Ministerie;zv%;2018;dec;12;5,6018449555941245
Ministerie van AZ;AZ;Ministerie;zv%;2018;jan;1;4,8402967989495238
Ministerie van AZ;AZ;Ministerie;zv%;2018;feb;2;6,1965464623512423
Ministerie van AZ;AZ;Ministerie;zv%;2018;mrt;3;5,6164664659273180
Ministerie van AZ;AZ;Ministerie;zv%;2018;apr;4;3,8299748654275576
Ministerie van AZ;AZ;Ministerie;zv%;2018;mei;5;2,9295519830561179
Ministerie van AZ;AZ;Ministerie;zv%;2018;jun;6;3,4186572360119212
Ministerie van AZ;AZ;Ministerie;zv%;2018;jul;7;3,4165424421935926
Ministerie van AZ;AZ;Ministerie;zv%;2018;aug;8;3,3627862433125619
Ministerie van AZ;AZ;Ministerie;zv%;2018;sep;9;3,9831703043628175
Ministerie van AZ;AZ;Ministerie;zv%;2018;okt;10;3,8994712349084524
Ministerie van AZ;AZ;Ministerie;zv%;2018;nov;11;3,7840577428040296
Ministerie van AZ;AZ;Ministerie;zv%;2018;dec;12;2,7564487058196616
Concern Justitie en Veiligheid;J&V;Ministerie;zv%;2018;jan;1;6,9653308904000353
Concern Justitie en Veiligheid;J&V;Ministerie;zv%;2018;feb;2;7,7420456426253388
Concern Justitie en Veiligheid;J&V;Ministerie;zv%;2018;mrt;3;6,9986084142455489
Concern Justitie en Veiligheid;J&V;Ministerie;zv%;2018;apr;4;5,8593958003420807
Concern Justitie en Veiligheid;J&V;Ministerie;zv%;2018;mei;5;5,4968638459802062
