organisatie;org_afk;soort;onderwerp;jaar;maand;maand_nr;aantal
Het Rijk;Rijk;Rijk;zv% 1-7;2018;jan;1;1,23937074218461962
Het Rijk;Rijk;Rijk;zv% 8-42;2018;jan;1;1,75384940896299080
Het Rijk;Rijk;Rijk;zv% 43-365;2018;jan;1;3,02815493996428309
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;jan;1;0,26611230512159151
Het Rijk;Rijk;Rijk;zv% 1-7;2018;feb;2;1,56478302359873411
Het Rijk;Rijk;Rijk;zv% 8-42;2018;feb;2;2,15214546189132117
Het Rijk;Rijk;Rijk;zv% 43-365;2018;feb;2;3,13246674672900394
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;feb;2;0,28312679100605637
Het Rijk;Rijk;Rijk;zv% 1-7;2018;mrt;3;1,13005521753106630
Het Rijk;Rijk;Rijk;zv% 8-42;2018;mrt;3;1,84222509734692941
Het Rijk;Rijk;Rijk;zv% 43-365;2018;mrt;3;3,09531480557419636
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;mrt;3;0,31438677054645447
Het Rijk;Rijk;Rijk;zv% 1-7;2018;apr;4;0,60378340699914057
Het Rijk;Rijk;Rijk;zv% 8-42;2018;apr;4;1,20308231939515831
Het Rijk;Rijk;Rijk;zv% 43-365;2018;apr;4;3,07377070594445723
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;apr;4;0,32959647563331279
Het Rijk;Rijk;Rijk;zv% 1-7;2018;mei;5;0,42407948387676547
Het Rijk;Rijk;Rijk;zv% 8-42;2018;mei;5;0,90563869297686117
Het Rijk;Rijk;Rijk;zv% 43-365;2018;mei;5;3,12797711679655777
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;mei;5;0,34905155136054572
Het Rijk;Rijk;Rijk;zv% 1-7;2018;jun;6;0,53313506793263610
Het Rijk;Rijk;Rijk;zv% 8-42;2018;jun;6;1,09911449466532152
Het Rijk;Rijk;Rijk;zv% 43-365;2018;jun;6;2,99591629766276712
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;jun;6;0,38308852122394521
Het Rijk;Rijk;Rijk;zv% 1-7;2018;jul;7;0,42867367981598881
Het Rijk;Rijk;Rijk;zv% 8-42;2018;jul;7;0,98723654908860548
Het Rijk;Rijk;Rijk;zv% 43-365;2018;jul;7;3,08139543844455410
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;jul;7;0,41551658929588492
Het Rijk;Rijk;Rijk;zv% 1-7;2018;aug;8;0,42428922313360673
Het Rijk;Rijk;Rijk;zv% 8-42;2018;aug;8;0,81455242523203697
Het Rijk;Rijk;Rijk;zv% 43-365;2018;aug;8;3,09008154463085205
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;aug;8;0,44486884484392575
Het Rijk;Rijk;Rijk;zv% 1-7;2018;sep;9;0,69764080649524629
Het Rijk;Rijk;Rijk;zv% 8-42;2018;sep;9;1,14584905224310774
Het Rijk;Rijk;Rijk;zv% 43-365;2018;sep;9;2,81787874170892261
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;sep;9;0,49504429008628598
Het Rijk;Rijk;Rijk;zv% 1-7;2018;okt;10;0,81199192690893918
Het Rijk;Rijk;Rijk;zv% 8-42;2018;okt;10;1,19275837118953643
Het Rijk;Rijk;Rijk;zv% 43-365;2018;okt;10;2,89342413414988808
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;okt;10;0,55737573338957791
Het Rijk;Rijk;Rijk;zv% 1-7;2018;nov;11;0,91706516306991015
Het Rijk;Rijk;Rijk;zv% 8-42;2018;nov;11;1,26258161336419983
Het Rijk;Rijk;Rijk;zv% 43-365;2018;nov;11;2,84000273693848593
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;nov;11;0,61395854689379747
Het Rijk;Rijk;Rijk;zv% 1-7;2018;dec;12;0,67674994669885935
Het Rijk;Rijk;Rijk;zv% 8-42;2018;dec;12;1,18223689762421169
Het Rijk;Rijk;Rijk;zv% 43-365;2018;dec;12;2,90016775573223295
Het Rijk;Rijk;Rijk;zv%> 1 jaar;2018;dec;12;0,65594907003856451
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;jan;1;1,27563373516544054
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;jan;1;1,69486377323848103
