organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;514
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;19
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;3172
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-01;2018;1;2018;1;21
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;216
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;271
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;276
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;484
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;2167
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;719
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-01;2018;1;2018;1;125
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;574
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;21
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;3482
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-02;2018;1;2018;1;28
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;241
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;300
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;299
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;554
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;2483
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;795
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-02;2018;1;2018;1;132
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;602
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;28
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;3651
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-03;2018;1;2018;1;25
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;249
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;301
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;313
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;587
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;2605
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;819
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-03;2018;1;2018;1;138
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;632
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;28
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;3729
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-04;2018;1;2018;1;21
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;249
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;305
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;329
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;613
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;2711
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;835
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-04;2018;1;2018;1;141
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;621
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;25
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;3709
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-05;2018;1;2018;1;24
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;253
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;305
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;319
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;615
Ministerie van Financien;FIN;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;2651
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;825
Buitenlandse zaken;BuZa;Ministerie;Aantal zieken;2018-01-05;2018;1;2018;1;144
Ministerie van BZK;BZK;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;560
Ministerie van AZ;AZ;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;23
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;3456
Hoge Colleges van Staat;HCvS;Divers;Aantal zieken;2018-01-06;2018;1;2018;1;20
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;231
Ministerie van OCW;OCW;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;278
Ministerie van V.W.S.;VWS;Ministerie;Aantal zieken;2018-01-06;2018;1;2018;1;277
