organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-01;2018;1;2018;1;7984
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-02;2018;1;2018;1;8909
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-03;2018;1;2018;1;9318
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-04;2018;1;2018;1;9593
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-05;2018;1;2018;1;9491
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-06;2018;1;2018;1;8672
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-07;2018;1;2018;1;8664
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-08;2018;1;2018;2;9905
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-09;2018;1;2018;2;10257
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-10;2018;1;2018;2;10325
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-11;2018;1;2018;2;10398
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-12;2018;1;2018;2;10176
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-13;2018;1;2018;2;9090
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-14;2018;1;2018;2;9076
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-15;2018;1;2018;3;10215
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-16;2018;1;2018;3;10579
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-17;2018;1;2018;3;10641
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-18;2018;1;2018;3;10950
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-19;2018;1;2018;3;10700
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-20;2018;1;2018;3;9481
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-21;2018;1;2018;3;9463
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-22;2018;1;2018;4;10760
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-23;2018;1;2018;4;11052
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-24;2018;1;2018;4;11101
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-25;2018;1;2018;4;11200
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-26;2018;1;2018;4;10955
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-27;2018;1;2018;4;9757
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-28;2018;1;2018;4;9748
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-29;2018;1;2018;5;11115
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-30;2018;1;2018;5;11463
Het Rijk;Rijk;Rijk;Aantal zieken;2018-01-31;2018;1;2018;5;11444
Het Rijk;Rijk;Rijk;Aantal zieken;2018-02-01;2018;2;2018;5;11514
Het Rijk;Rijk;Rijk;Aantal zieken;2018-02-02;2018;2;2018;5;11285
Het Rijk;Rijk;Rijk;Aantal zieken;2018-02-03;2018;2;2018;5;9948
Het Rijk;Rijk;Rijk;Aantal zieken;2018-02-04;2018;2;2018;5;9935
