organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;20
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;152
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;7
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;15
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;18
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;29
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;58
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;46
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;5
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;74
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;5
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;428
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;7
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;35
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;40
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;34
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;87
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;384
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;110
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;12
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-03;2018;1;2018;1;44
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-03;2018;1;2018;1;7
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-03;2018;1;2018;1;242
