organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-01;2018;1;2018;1;350
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-02;2018;1;2018;1;1216
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-03;2018;1;2018;1;635
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-04;2018;1;2018;1;560
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;253
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;48
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;29
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;1614
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-09;2018;1;2018;2;791
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-10;2018;1;2018;2;573
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-11;2018;1;2018;2;669
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-12;2018;1;2018;2;283
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-13;2018;1;2018;2;21
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-14;2018;1;2018;2;22
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-15;2018;1;2018;3;1618
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-16;2018;1;2018;3;880
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-17;2018;1;2018;3;567
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-18;2018;1;2018;3;804
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-19;2018;1;2018;3;340
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-20;2018;1;2018;3;23
Het Rijk;Rijk;Rijk;Aantal ziekmeldingen;2018-01-21;2018;1;2018;3;31
